module,test,dtype,n_total,n_diff,max_ulp,tol,histogram,status
solve,solve batch[56] n=7,float64,7,6,5,atol=1e-14,2×1ULP 2×2ULP 1×4ULP 1×5ULP,within atol=1e-14
solve,solve batch[57] n=6,float64,6,6,13,atol=1e-14,1×3ULP 1×7ULP 1×8ULP 1×10ULP 2×13ULP,within atol=1e-14
solve,solve batch[58] n=4,float64,4,2,2,atol=1e-14,1×1ULP 1×2ULP,within atol=1e-14
solve,solve batch[59] n=8,float64,8,8,16,atol=1e-14,1×2ULP 2×3ULP 2×8ULP 1×9ULP 1×15ULP 1×16ULP,within atol=1e-14
solve,solve batch[60] n=7,float64,7,7,23,atol=1e-14,1×1ULP 2×2ULP 2×3ULP 1×4ULP 1×23ULP,within atol=1e-14
solve,solve batch[61] n=7,float64,7,6,11,atol=1e-14,2×1ULP 1×3ULP 1×5ULP 1×6ULP 1×11ULP,within atol=1e-14
solve,solve batch[62] n=4,float64,4,4,40,atol=1e-14,1×2ULP 1×3ULP 1×8ULP 1×40ULP,within atol=1e-14
solve,solve batch[63] n=8,float64,8,8,46,atol=1e-14,3×1ULP 1×2ULP 1×5ULP 1×9ULP 1×10ULP 1×46ULP,within atol=1e-14
solve,solve batch[64] n=4,float64,4,4,12,atol=1e-14,1×2ULP 1×3ULP 1×7ULP 1×12ULP,within atol=1e-14
solve,solve batch[65] n=7,float64,7,6,21,atol=1e-14,2×2ULP 1×4ULP 1×10ULP 1×11ULP 1×21ULP,within atol=1e-14
solve,solve batch[66] n=4,float64,4,4,5,atol=1e-14,1×1ULP 2×2ULP 1×5ULP,within atol=1e-14
solve,solve batch[67] n=5,float64,5,5,4,atol=1e-14,3×1ULP 1×2ULP 1×4ULP,within atol=1e-14
solve,solve batch[68] n=7,float64,7,5,19,atol=1e-14,1×1ULP 2×2ULP 1×11ULP 1×19ULP,within atol=1e-14
solve,solve batch[69] n=8,float64,8,7,3,atol=1e-14,1×1ULP 5×2ULP 1×3ULP,within atol=1e-14
